AI Method,Ghost Method,Time (s),Score,Level
2,RLPacMan,MyGhosts,28.15,2360,1
3,RLPacMan,MyGhosts,27.27,3070,1
4,RLPacMan,MyGhosts,23.47,2470,1
5,RLPacMan,MyGhosts,13.05,920,1
6,RLPacMan,MyGhosts,26.33,3690,1
7,RLPacMan,MyGhosts,77.32,4350,2
8,RLPacMan,MyGhosts,32.20,2730,1
9,RLPacMan,MyGhosts,16.87,1490,1
10,RLPacMan,MyGhosts,24.67,1650,1
11,RLPacMan,MyGhosts,16.82,1800,1
12,RLPacMan,MyGhosts,8.25,770,1
13,RLPacMan,MyGhosts,17.40,1550,1
14,RLPacMan,MyGhosts,14.37,1130,1
15,RLPacMan,MyGhosts,39.20,4750,1
16,RLPacMan,MyGhosts,12.12,1250,1
17,RLPacMan,MyGhosts,46.47,2300,1
18,RLPacMan,MyGhosts,23.62,2180,1
19,RLPacMan,MyGhosts,25.38,2770,1
20,RLPacMan,MyGhosts,22.60,1800,1
21,RLPacMan,MyGhosts,52.53,2650,1
22,RLPacMan,MyGhosts,20.45,1620,1
23,RLPacMan,MyGhosts,24.90,2020,1
24,RLPacMan,MyGhosts,29.83,2590,1
25,RLPacMan,MyGhosts,33.28,2050,1
26,RLPacMan,MyGhosts,77.97,4180,2
27,RLPacMan,MyGhosts,22.22,2380,1
28,RLPacMan,MyGhosts,32.13,1730,1
29,RLPacMan,MyGhosts,35.15,2310,1
30,RLPacMan,MyGhosts,24.05,3480,1
31,RLPacMan,MyGhosts,30.27,1310,1
32,RLPacMan,MyGhosts,44.62,3450,1
33,RLPacMan,MyGhosts,72.88,2660,2
34,RLPacMan,MyGhosts,26.43,2760,1
35,RLPacMan,MyGhosts,28.47,2280,1
36,RLPacMan,MyGhosts,29.07,2080,1
37,RLPacMan,MyGhosts,34.18,2640,1
38,RLPacMan,MyGhosts,27.12,1710,1
39,RLPacMan,MyGhosts,21.95,1390,1
40,RLPacMan,MyGhosts,31.30,2510,1
41,RLPacMan,MyGhosts,74.85,2290,2
42,RLPacMan,MyGhosts,53.87,2320,1
43,RLPacMan,MyGhosts,26.43,2380,1
44,RLPacMan,MyGhosts,25.82,2600,1
45,RLPacMan,MyGhosts,16.35,1440,1
46,RLPacMan,MyGhosts,14.67,1710,1
47,RLPacMan,MyGhosts,22.08,1540,1
48,RLPacMan,MyGhosts,16.23,2290,1
